,0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.070792929
143,1.0959022950458583
144,1.1696923215345214
145,1.1598363652501469
146,1.1726502826470488
147,1.2381431879074798
148,1.29310983908787
149,1.3533290591173046
150,1.3611158573909445
151,1.3354665981729026
152,1.2761613685545115
153,1.3769558093695955
154,1.4138758831420002
155,1.473959995088279
156,1.4804459644318655
157,1.4958935697751745
158,1.5420852164558807
159,1.5639351159550423
160,1.5591266473032674
161,1.5384798612251747
162,1.5460392866399353
163,1.5380763169857
164,1.4272120221495814
165,1.4283196931031101
166,1.5548665468837335
167,1.5690308835685491
168,1.5812545033946577
169,1.6677003114038256
170,1.7290420128072463
171,1.779226973097213
172,2.005067829038658
173,1.9647866479496376
174,2.0642453949224553
175,1.9440946210520516
176,2.0286465427596228
177,1.997121921191058
178,2.111106834025928
179,2.1012534962109317
180,2.0470361970504385
181,2.2843028198860806
182,2.379574390643358
183,2.5634399395531866
184,2.6716915370444156
185,2.792962544084786
186,2.7394335624002717
187,2.8090622136989385
188,2.9014414943448448
189,3.0672299889951353
190,3.333978546255573
191,3.4224350315889023
192,3.320553316069239
193,3.390136430600739
194,3.5726161855056633
195,3.5932421820283214
196,3.8076496207168287
197,4.248937740849599
198,4.708751849522788
199,4.553141538801534
200,3.658535171526719
201,4.046931155577622
202,4.32739227054669
203,4.603111947897589
204,5.082967633800285
205,6.4667750234669334
206,6.398693850703878
207,6.180917760789851
208,5.95680577360496
209,6.525264522964831
210,7.089093920503256
211,7.29833469507862
212,7.383120770229929
213,7.110667518605165
214,7.226954486370995
215,7.537156930931271
216,8.18946876987762
217,8.188558035434658
218,8.833816613340861
219,9.150647983202624
220,9.359385665406863
221,9.65030873622573
222,9.803331655291226
223,9.504103288743657
224,10.057666239766005
225,9.841356635522665
226,10.029164332179725
227,10.045520919356155
228,9.879622456394893
229,9.008984284089177
230,9.411308134876933
231,9.978266851172316
232,10.07418363975789
233,9.90796006304015
234,9.37403019145422
235,8.737122471482524
236,8.220042561179858
237,8.002987660147687
238,8.498169960663274
239,9.103604233353813
240,9.171266043529878
241,9.596089175058829
242,9.44432367572015
243,9.36392225940401
