month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
187,000001.SZ,1,-0.0228357,0.216862,0.233617,-0.739101,-0.0668537,2.8891,1.24989,-2.59499,-0.566031,0.523752,0.0879713,-0.118913,0.106484,-0.229926,-0.148757,0.127777,0.106658,0,0,0.168675,0.164652,0.058472,0.0385961,1.56198,1.278,-0.0717159,-0.129442,0,0,-5.1444,-0.730808,-1.68857,-2.00949,-0.888137,-1.52425,-1.627,-1.44344,-0.881439,-0.922501,-1.71829,-1.89119,-2.07712,-1.49541,-1.75727,-1.65846,-1.53337,-1.72783,-1.64149,-1.48311,-1.91306,-2.19219,-1.62218,-0.768399,-0.710049,-0.700517,-0.680976,-0.618518,-1.15423,-1.10811,-1.26691,-1.02146,-0.693521,0.127521,-0.729832,-0.635562,-1.36473,-2.29629,-1.85229,-0.890776,-0.488954,-1.63139
187,000002.SZ,1,-0.102576,0.765707,0.85896,0.51371,1.09264,-0.279397,-1.10025,0.16943,0.73094,0.106329,-0.614564,-0.226531,-0.58264,-0.503442,-0.0992864,-1.19969,-0.915864,-0.719627,-0.589064,-0.444075,-0.460396,-0.403175,-0.230307,-0.487651,-0.0592494,-1.01958,0.312062,-0.244708,-0.0330166,2.25151,1.4464,-0.190227,1.0818,1.22315,0.763283,0.0646302,0.249903,0.102431,0.0431241,-0.38404,0.0457765,0.199002,0.17943,0.75984,1.42303,1.11387,0.708349,0.992032,1.21595,0.418441,0.291405,0.190134,-0.294404,-0.331358,-0.46167,-0.470667,-0.514536,0.274309,-0.0293408,-0.261028,-0.531104,-0.720733,0.0208969,0.294738,-0.165672,-3.49199,1.83066,1.39886,-1.09317,-0.678907,-0.704584
187,000003.SZ,0,-0.0141839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187,000004.SZ,1,-0.0367533,0.0267791,0.293798,-0.680391,-0.308252,0.676238,-0.0870262,-0.229237,0.111654,0.189053,1.87622,0.12702,0.290994,-0.274775,0.426784,0.148901,0.281615,0.676989,0.328415,-0.529718,-0.179735,-0.792967,-0.355177,-1.19019,-0.598802,0.168429,0.258049,-0.367261,-0.440454,0.652327,-0.504512,0.0868148,-0.728122,0.216822,-0.556516,0.0387611,-1.00569,-0.843048,-0.856175,0.0994702,0.069444,-0.124698,-0.411262,-0.425369,-1.56513,-0.819915,-0.39345,0.127213,-1.50057,-1.01484,-0.40994,0.105537,-0.486962,0.153999,-0.52356,-0.103681,0.251225,-0.0567565,-0.92724,-0.537474,-0.136799,-0.541962,0.00491533,-0.190713,-0.816328,0.546822,0.0531503,0.34562,-0.874112,0.386674,0.244788
187,000005.SZ,1,-0.0258118,-1.26435,-1.75451,-0.884726,-0.883128,-0.298722,0.165677,-0.852014,0.0726326,-1.84661,0.123137,-0.929426,0.102168,-1.19603,-0.843845,-1.06588,-0.442088,-1.69437,0.416749,-2.4098,-2.62014,-0.457465,-0.475755,1.28524,0.239325,1.33913,1.90483,-0.596846,-1.21001,0.213272,0.813323,-1.21613,-0.700171,0.25969,0.628642,-1.42622,-0.453181,0.109974,0.404485,-0.168362,-0.786312,-0.830852,-0.365731,0.0896959,-0.269505,0.639089,1.13761,-0.615442,-0.239231,0.610984,0.656933,1.43132,0.407997,0.129922,0.465953,0.667154,0.761091,-1.46369,-0.76927,-0.0780254,0.0354843,-0.190282,0.00172577,2.68755,0.0526192,0.0874667,-0.941332,-0.737301,-1.33583,-0.755877,-0.498408
187,000006.SZ,1,0.211623,1.55234,1.82679,0.382083,-0.195284,0.447042,-0.555859,1.07006,-0.524564,-1.62365,-0.344059,-0.665855,-0.350086,0.933133,0.840118,0.405046,0.487706,0.542457,0.69316,1.74257,1.66457,-0.0542523,-0.0428545,-0.657956,-0.126266,0.303033,-0.720253,0.116374,0.179903,-0.148935,-0.168517,-0.63154,-0.431278,-0.292299,-0.110071,-0.117238,0.345947,0.316441,0.310015,-0.617603,-0.199511,0.0979928,0.2991,0.0635756,0.285709,0.495723,0.703398,0.200104,0.481575,0.639506,0.420301,0.63673,-1.01838,0.300036,0.197663,0.330848,0.283019,0.119274,-0.249605,0.153294,-0.270511,-0.762374,0.0286486,-0.0305069,0.493459,2.18864,-0.576491,0.925876,-1.28743,-1.445,-0.670983
187,000007.SZ,1,-0.104783,0.122994,-0.13912,-1.3794,-1.5381,-1.06233,-1.85613,-0.685727,1.53074,-2.22665,3.17982,-0.714692,3.1735,-1.18032,1.05847,1.20301,0.769308,3.92704,2.6408,-2.21725,-1.37114,-1.74157,-1.32662,0.0719566,-1.95717,0.311677,1.21651,-0.996834,-0.333369,0.101114,-1.1817,-1.58027,0.0619796,0.070125,-0.146156,-0.629956,0.467478,0.75587,1.01372,-0.278224,-0.480993,-0.227664,0.340725,-0.17483,-0.586104,-0.961375,-2.52023,0.19867,0.201382,0.0438221,-1.20772,-0.939997,2.40488,0.0968313,0.276219,0.0697631,-0.0754403,0.117432,0.330302,-0.036361,-0.458604,-0.159653,0.00144798,3.46245,0.231631,0.0817377,-2.26377,-1.77692,-1.7163,-1.91249,-0.976711
187,000008.SZ,1,-0.0237077,-0.569462,-0.617518,-1.11115,-1.8973,0.305733,-0.17273,-1.16111,2.13488,2.46198,2.40926,0.027852,2.43041,-0.340794,0.218681,-0.0271009,1.20245,1.68307,1.85511,0.48511,0.127558,-1.65522,-0.473307,0.51579,0.416684,1.48462,0.996159,2.38768,1.21179,0.126401,-1.07964,-0.232645,0.883441,-0.892648,-1.61667,-1.73718,-0.276514,-2.20177,-1.34027,0.366385,-0.696167,-1.02841,-1.36684,-0.595029,-0.370079,-1.59377,-1.61324,-0.574586,0.043485,-1.42805,-0.97778,-0.263307,0.27128,-0.0495296,-0.0642939,-0.917959,-0.261255,0.038922,1.02E-05,-2.0293,-0.91365,-0.118837,0.00107779,-0.0418181,-2.13774,1.58688,-1.29702,-0.054127,0.703009,1.6813,0.220693
187,000009.SZ,1,-0.0541429,-0.871935,-2.28444,-1.0439,-0.498484,-0.234197,-0.470976,-1.05894,1.87812,-1.04696,1.75654,-1.30751,2.23163,-1.64222,-0.13554,0.0850988,-0.133156,-0.111502,-0.193152,-1.20091,-1.77548,0.0675578,0.020665,-0.121079,-0.191078,0.48254,0.538341,0.0335321,-0.277681,-0.39209,-0.12046,0.213437,1.0672,-0.187871,-0.177474,0.354948,0.355536,-0.47072,-0.511845,0.51436,0.553442,0.439795,0.148608,1.20057,0.753018,-0.388667,-0.0381131,0.395877,0.625099,-0.191444,-0.133955,-0.502147,-0.148822,-0.596707,-0.467231,-0.976624,-0.786826,0.362022,0.640522,-0.140224,0.354326,0.314684,-0.00285403,0.110735,0.106774,0.135926,-0.339235,-0.192276,-0.692483,-2.09245,0.226828
187,000010.SZ,1,-0.185717,-0.706225,-0.533068,-1.50157,-0.940457,1.66857,-0.285175,-1.06886,-0.05352,2.6096,-0.0907349,-0.0328615,-0.0752832,-0.667258,-0.438916,-0.816072,-0.473637,0.362802,0.379248,-0.587902,-0.351704,-0.295524,-0.61414,-0.040965,-0.263744,0.28125,0.789072,0.326196,-0.0390399,-0.163121,-1.92293,-2.35729,-1.74122,-1.05516,-2.80642,-1.74221,-2.12806,-2.2597,-2.20007,-1.03483,-1.88249,-1.7907,-2.03883,-3.44085,-3.57541,-3.67535,-3.56591,-2.72894,-1.3861,-0.72288,0.221258,0.384872,1.70379,-2.41027,-2.56714,-2.52284,-1.45981,-1.84521,-1.3251,-2.09924,-0.909867,0.140211,-0.00127165,0.0493395,-2.35711,2.29003,-1.98955,-2.23062,-1.34565,-1.064,-0.990737
