month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
22,000001.SZ,1,NaN,-1.61E-13,NaN,1.92E-14,-4.06E-14,-6.10E-14,-1.31E-13,-8.96E-14,NaN,NaN,NaN,NaN,NaN,-2.66E-13,-2.22E-13,-2.34E-13,-2.00E-13,-1.08E-13,2.12E-13,-2.07E-13,NaN,-1.35E-13,-1.11E-13,-1.17E-13,-5.18E-14,4.89E-14,3.98E-14,-1.14E-13,-3.56E-15,4.53E-11,NaN,1.11E-13,1.00E-13,3.55E-14,1.88E-13,1.08E-13,1.14E-13,7.75E-14,1.52E-13,9.59E-14,1.05E-13,1.14E-13,1.31E-13,NaN,NaN,NaN,NaN,1.25E-13,1.02E-13,1.25E-13,1.48E-13,2.81E-13,NaN,5.91E-14,2.74E-14,-3.53E-15,-1.09E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.88E-17,5.75E-14,9.46E-14,1.01E-13,1.36E-13,1.95E-13,1.09E-13
22,000002.SZ,1,NaN,1.11198,0,1.34241,1.75673,-0.816783,-1.0559,0.283716,0,0,0,0,0,-0.187912,0.0865876,-0.318351,-0.0436728,-0.392478,-0.438793,-0.709325,0,0.254519,0.629048,-2.34947,0.026339,0.0406321,0.568232,-0.391601,-0.00720368,-8.93612,0,0.430177,-0.121235,0.51743,0.188401,0.517062,-1.0696,-0.00718412,0.264817,1.03378,0.842096,0.525607,0.255875,0,0,0,0,-0.550686,-1.86545,-1.00449,-0.512267,0.584665,0,0.691482,-0.105377,0.606992,0.845608,0,0,0,0,0,0,0,0.0144606,2.90119,-1.28582,0.204435,0.314747,0.559918,0.8018
22,000003.SZ,1,NaN,-2.13531,0,0.321346,0.942001,0.743649,1.75542,-0.375529,0,0,0,0,0,0.199855,-1.86546,-0.226201,-1.9703,0.116622,-0.489092,-0.482166,0,-0.299839,-0.442853,0.0270742,-0.0116995,-1.96244,-1.9788,-0.577366,-0.80267,0.128547,0,0.618245,-0.39852,0.323207,0.142219,0.532775,-0.981945,-0.0786935,0.425762,0.671169,0.618759,0.322673,0.0801848,0,0,0,0,-0.108141,-1.39804,-0.671094,-0.823281,1.4361,0,0.239063,-0.526578,0.386388,0.99744,0,0,0,0,0,0,0,-0.173057,1.438,0.60147,1.04064,1.44488,1.93179,0.860012
22,000004.SZ,1,NaN,-1.67355,0,-0.524063,-0.410084,-0.00869865,0.542817,-0.0476848,0,0,0,0,0,-0.266104,-2.09396,-0.591649,-2.21041,-0.274694,-1.70207,-0.310817,0,-0.455147,-1.38205,-3.41591,-0.0351904,-2.20965,0.535456,-0.0240422,-1.15645,0.406413,0,-2.43591,-2.33778,-2.34058,-0.653115,-1.13818,-1.06045,-0.530181,-0.402597,0.0785092,-0.596436,-0.820841,-0.605374,0,0,0,0,0.205537,-0.276537,-0.139154,-0.633788,0.298917,0,-1.78515,-1.32772,-1.14636,-2.08043,0,0,0,0,0,0,0,0.824162,-1.53769,-1.82485,-1.70284,-1.04432,-2.1155,-1.84109
22,000005.SZ,1,NaN,0.801814,0,0.294968,-0.729579,0.0918664,-0.154181,-0.484641,0,0,0,0,0,1.60796,1.4648,1.10357,1.08725,2.63698,2.56733,2.23149,0,-1.12203,-1.15465,0.129494,0.452679,0.16075,-0.468935,-0.843711,-0.583847,-0.00718271,0,-1.28799,-0.443003,0.136777,0.181398,-0.572261,-0.297384,0.319101,0.524003,-1.32504,-0.786033,-0.558503,-0.153022,0,0,0,0,-0.748172,-0.561241,0.0363625,-0.192139,1.00201,0,0.0344223,0.541515,0.63538,0.563278,0,0,0,0,0,0,0,-0.178252,-1.07658,-1.86289,-1.78917,-0.681374,-0.0951817,-1.06515
22,000006.SZ,1,NaN,1.50956,0,1.71137,3.06609,0.956901,1.52196,1.62623,0,0,0,0,0,0.324507,0.509487,0.0603459,0.147269,-0.636871,-0.548071,-0.384435,0,0.391102,0.692319,-0.00288051,0.00124474,-0.981878,0.291437,-0.460342,-0.437697,0.065207,0,-0.0116759,-0.156629,0.737256,0.786417,0.0776599,-0.0128626,0.636593,0.891001,-1.61515,-0.463581,-0.141067,0.220081,0,0,0,0,-0.454401,-0.361039,0.0840521,-0.063169,0.135843,0,1.06527,1.05608,1.39829,1.66757,0,0,0,0,0,0,0,-0.136412,-0.586327,1.01937,0.513916,-0.398107,-0.222522,-0.62933
22,000007.SZ,1,NaN,0.721732,0,0.336865,0.596802,1.77543,0.223491,-0.88432,0,0,0,0,0,-0.383523,0.336447,-0.588788,-0.22093,-0.219396,-0.285337,-0.688474,0,-0.293239,-0.345712,3.90299,-0.0116986,-1.90716,0.221882,-1.16217,-1.38695,0.057245,0,-0.582756,-0.274346,0.00140678,-0.38738,-0.210117,-0.203239,0.232258,-0.263248,-0.170595,-0.182357,-0.19945,-0.115779,0,0,0,0,-0.662915,-0.551141,-0.37078,-1.01153,0.0952903,0,0.37253,0.682326,0.845136,0.721487,0,0,0,0,0,0,0,0.169015,-0.0587759,-0.892787,-0.721565,-0.95908,0.0206788,-0.521836
22,000008.SZ,1,NaN,-1.41172,0,-1.52376,-0.869388,-0.0257343,-0.294533,-0.545896,0,0,0,0,0,0.793667,-2.50848,-0.138274,-2.67814,-1.35103,-1.25568,0.0457831,0,-0.410506,0.0715627,-0.0731506,0.0316103,-0.639465,0.906211,-0.832015,-1.19338,-0.0833812,0,-2.10107,-2.09612,-2.20736,-2.10649,-1.40814,-1.67202,-0.774219,0.46073,-1.0352,-1.26899,-1.41215,-1.08758,0,0,0,0,0.729105,-0.601504,-0.181485,0.488598,-3.22166,0,-0.0220966,-0.486961,0.225347,0.829131,0,0,0,0,0,0,0,0.886246,-1.59837,-1.63657,-1.57765,-1.91352,-2.22687,-2.1094
22,000009.SZ,1,NaN,-2.43741,0,0.878847,0.154928,-0.0818333,-1.35326,-0.4736,0,0,0,0,0,-0.862202,-2.23561,-0.77465,-2.34458,-0.0766266,-0.257569,-0.909874,0,-0.668209,-0.735611,2.8786,0.0132317,-2.03465,0.527286,-0.789508,-0.809793,0.00655086,0,0.142024,0.51583,0.217559,1.24387,1.04673,1.15823,1.02109,1.74304,0.802632,0.975293,1.04477,1.24541,0,0,0,0,1.33245,1.10643,1.51473,2.17154,2.55801,0,1.22297,1.2888,1.2222,1.66927,0,0,0,0,0,0,0,-0.109362,0.4186,0.748167,0.720806,-0.938468,0.447092,-0.366423
22,000010.SZ,1,NaN,0.0580159,0,-0.255043,2.31273,1.04013,0.805494,-0.0646932,0,0,0,0,0,-2.16092,-0.31655,-2.33176,-0.24109,-0.587257,-0.381066,-1.21165,0,2.12437,3.16425,0.0939924,-0.0406165,0.00855318,0.546544,-0.504811,-0.783051,0.19875,0,0.858793,1.1716,1.23388,0.804699,0.812603,1.05905,0.388529,0.25774,0.972499,0.963359,0.953181,0.836841,0,0,0,0,0.475147,0.546099,0.0659338,-0.151376,0.865867,0,0.698684,0.716686,0.676592,0.83867,0,0,0,0,0,0,0,-2.29366,0.891027,0.983749,1.17576,0.585967,-0.304902,0.958563
