month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
116,000001.SZ,1,-0.136675,0.781136,0.707904,-0.800547,-0.109979,0.898855,1.13916,-0.345818,1.42202,0.54979,0.742424,1.23195,0.504988,2.106,1.77275,0.49214,0.457352,0,0,0.524486,0.53224,0.168644,0.10797,1.19912,0.978098,-0.0744018,-0.229821,0,0,-6.64183,-0.412984,1.74861,-0.113151,-0.497622,-0.888244,0.905768,0.269803,0.406612,0.658066,0.116046,0.607308,0.822066,1.04573,0.249378,-0.510669,-1.14287,-1.25582,-0.636035,-0.444059,-1.23071,-0.657032,-2.08761,-0.827245,0.778234,1.30165,1.64161,1.8327,-1.03261,-0.413302,-0.452629,-0.787355,-0.461549,1.58199,0.416165,1.63234,1.88538,1.97338,1.89823,1.08805,1.93304,1.39402
116,000002.SZ,1,-0.230994,-1.10064,-0.804007,0.123495,0.0791868,1.47653,-0.933508,-0.455781,-1.03009,0.677672,-0.821988,-0.180303,-1.42691,-1.36344,-1.27162,-1.51285,-1.51667,0.521032,0.0345757,-0.333841,-0.53747,-0.556582,-0.558207,-1.22891,-0.653272,-0.302073,-0.736221,-0.035056,0.461932,3.36452,-0.944951,-0.753073,-0.595366,-1.37745,-0.44233,-0.690461,0.00254937,0.249353,0.42356,-0.866878,-0.953287,-0.610371,-0.0429803,0.516449,0.568026,0.794273,1.2024,0.699988,0.717076,0.325638,0.294311,0.648649,0.205076,0.140139,-0.116348,-0.0243807,0.259696,-0.263053,-0.701177,-0.724247,-0.216745,-0.229456,-0.551752,-0.874746,-1.87222,1.90882,0.0247277,0.0456175,0.269041,-1.25469,-0.84697
116,000003.SZ,0,-0.12832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,000004.SZ,1,0.0481507,-0.429778,-0.531325,-1.24474,-1.18943,-2.11114,-1.18213,-0.409063,0.187154,0.452983,0.210895,-0.367552,0.0965345,-1.39196,-0.164538,-1.22531,-0.195181,0.960494,1.0397,-2.19961,-1.35428,-1.16457,-0.980327,-2.23968,-0.796141,0.338221,0.254229,1.41572,0.204363,0.571174,1.12925,1.19603,-0.587568,-0.263785,-0.0258412,0.637371,-0.167013,0.481705,1.27813,0.950843,0.520886,-0.0345826,0.352273,-1.0641,-0.805716,-0.188658,0.184206,0.0909306,0.397426,1.10747,1.53514,-0.0412591,-1.20976,-0.97233,0.32547,0.367366,1.08195,-1.97467,-0.547676,-0.744357,0.144179,-0.261512,0.0407453,0.0365509,0.52407,0.849884,0.814577,1.42188,0.804555,1.15591,1.29378
116,000005.SZ,1,0.0163542,-0.0774623,-1.09586,-0.317786,-0.474121,-0.632306,0.463264,-0.579881,-0.749748,-2.36845,-0.563938,2.77203,-0.227487,-0.234283,-1.65592,0.867315,-1.45356,1.59552,2.41628,0.719521,-2.69148,-0.301472,-0.591464,0.388323,-0.847582,0.815917,1.57741,-0.932768,-2.07696,-0.0305766,0.344266,0.382702,0.216674,1.16997,0.347786,0.226589,0.776778,1.13944,0.799156,0.00280953,0.369482,0.848561,1.0479,0.979393,1.09671,0.744233,1.29459,1.22716,1.30422,2.34614,2.51065,1.8995,0.359262,1.05628,0.806258,0.906167,0.834696,0.806576,0.236081,0.166535,-0.384095,-1.69562,0.00122444,1.66099,0.350891,-0.127123,0.732886,0.893287,-0.544847,-0.376572,0.235452
116,000006.SZ,1,-0.157774,0.541421,0.462047,0.191322,-0.253778,-2.11509,1.96648,1.79034,-1.50344,-2.91121,-1.24881,-0.430194,-1.06308,0.108187,0.106592,0.0332516,-0.142626,0.910064,1.06658,1.91525,1.65824,-0.4422,-0.598026,-0.164358,-1.94786,-0.706218,-1.37609,0.691671,1.24202,-0.12105,0.0805029,1.37423,-0.594122,-0.145072,0.672413,0.537993,-0.358237,0.530247,0.776393,0.375306,0.261191,0.154638,0.356709,0.319591,-0.60812,0.171279,-0.284003,0.711478,-0.0870494,0.200106,0.167949,-1.18569,-0.808144,0.694968,0.542883,1.21076,0.81682,0.592216,0.334544,1.3328,0.702907,-0.734397,1.53147,-0.362085,2.71092,1.53262,1.41866,1.17292,1.38243,1.20738,1.38986
116,000007.SZ,1,-0.0413634,-2.17412,-2.17993,-1.83819,0.0327395,0.332738,-0.0143108,-0.516732,0.0951439,0.0904115,0.107213,0.381409,0.0490754,0.391318,2.82535,-1.79372,-2.44511,1.15524,0.975494,-2.49154,-2.1446,-0.37702,-0.231968,-1.38916,-0.851384,2.45929,2.63911,-1.20506,-1.13132,0.31264,0.260955,0.561938,0.261846,0.476426,-0.607792,1.00174,1.01182,1.36575,-0.265712,-0.0995212,0.668956,1.13823,0.750187,-1.06591,-0.628344,-0.757797,-0.553567,0.929364,0.559086,0.600504,0.192635,0.87447,-0.748171,0.884092,1.21372,0.267815,-0.409431,0.907232,1.38765,0.250794,-0.86204,-0.132945,0.0207138,0.0185815,2.95706,0.0366651,0.611316,0.59162,0.987082,2.9589,0.515798
116,000008.SZ,1,0.1086,-0.518955,-0.443954,-1.14402,-2.39651,0.748544,-0.278531,-0.672886,0.217802,-0.384856,0.24543,-0.478819,0.112343,-0.16518,-0.268081,0.564421,0.11589,-0.230692,-0.0424043,-1.45575,-1.48158,-2.4217,-2.5492,-0.224567,0.652659,1.62469,0.429014,2.61145,2.97545,0.71569,-0.279845,0.67454,-1.43642,-0.992118,-0.135506,0.00785814,-0.577873,-0.224114,0.509171,-0.243465,-0.24625,-0.436387,-0.177955,-0.22013,-0.037698,0.00302269,0.351362,0.489401,0.729027,1.34608,1.45496,-0.349286,0.137792,0.430155,0.284469,0.114218,0.406454,0.284749,-0.0518022,-0.388908,-0.0493662,-0.304336,0.0474176,0.0425363,1.96474,-0.234872,0.679964,0.452704,-0.471897,1.03059,0.460378
116,000009.SZ,1,0.1937,0.306598,0.312318,-0.117461,0.164112,-0.329727,3.68E-05,-0.757109,1.81058,-2.04948,1.81365,-2.10847,1.95921,0.397288,0.566701,0.217984,0.392631,0.244891,-0.199877,0.926068,0.113228,-0.248792,-0.104009,-0.325013,0.022423,0.145094,-0.0107169,-0.108837,-0.450909,-0.317944,1.20387,0.769611,-0.544363,0.610038,0.346675,0.93623,-0.371109,0.558398,0.563622,0.881632,0.766744,0.364104,0.406664,0.475504,0.69016,1.40226,1.45646,0.667122,0.970396,1.54307,1.72007,0.940353,0.0947003,-0.336446,-0.377207,0.227435,0.290635,-0.875808,-1.10978,-0.393488,-0.590135,0.733461,-0.0178149,-0.015981,1.24818,0.587227,-0.0447227,0.60041,0.789149,1.63844,1.30098
116,000010.SZ,0,-0.12832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
