month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
191,000001.SZ,1,-0.00929603,0.250853,0.26704,-0.0771537,-0.0840009,2.8592,1.20919,-2.36696,-0.625176,0.535431,0.103367,-0.106599,0.120796,-0.206618,-0.130756,0.14896,0.127762,0,0,0.188412,0.185501,0.0619469,0.0411315,1.56268,1.27235,-0.0509037,-0.11346,0,0,-5.68218,-0.273141,0.442176,0.730834,-0.225316,0.104283,0.0552143,0.212334,-0.557527,-0.392623,0.141473,0.178688,0.124596,-0.0996414,-0.091364,-0.368491,-1.10232,-1.36453,-0.212652,-0.435342,-1.19939,-1.82961,-1.28003,-0.666986,-0.213357,-0.251516,-0.45222,-0.628382,0.228789,0.139866,-0.428409,-1.30713,-0.870707,-0.0810526,0.324572,-0.442126,2.8155,0.847365,2.00068,0.934864,0.345743,0.600888
191,000002.SZ,1,0.229311,0.446734,0.560424,1.27755,1.91466,0.0905691,-1.52023,1.03986,1.67619,0.17625,-0.498975,-0.256547,-0.5266,-0.476303,-0.115744,-1.20833,-0.920261,-0.713916,-0.594569,-0.471953,-0.509038,-0.393834,-0.234043,-0.4582,-0.0846351,-1.19385,0.171822,-0.290258,-0.12395,-0.64926,1.25038,0.618126,0.800949,0.903371,1.32717,0.238873,0.301966,0.0888697,0.159905,0.431578,0.359928,0.191284,0.087799,1.14269,1.23787,1.48903,1.2865,0.490048,0.437871,0.936263,0.468047,0.521552,-0.363358,-0.611055,-0.60717,-0.496124,-0.498074,-0.413909,-0.396935,-0.104464,-0.455029,-0.598314,-1.04966,1.38046,-0.93061,1.16027,2.4258,1.34296,0.824476,1.35031,0.483692
191,000003.SZ,0,0.0124431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191,000004.SZ,1,-0.101507,0.0685285,0.348523,-0.563551,-0.280204,0.628972,-0.022531,-0.175148,0.0892316,0.2112,1.92663,0.152471,0.320292,-0.227674,0.459878,0.202435,0.326907,0.644216,0.295794,-0.502746,-0.157251,-0.764581,-0.336611,-1.22968,-0.580515,0.23073,0.327065,-0.382958,-0.443959,0.6193,-0.325017,-0.87095,-0.120453,0.202411,-0.263934,-1.55115,-1.67121,-0.471607,-0.828012,-2.3406,-1.70839,-1.56645,-1.87696,-0.831066,0.302505,0.0560783,-0.295891,-0.171921,0.218419,0.10612,-0.339779,0.0560348,-0.449294,-0.962629,0.296833,0.31774,0.202308,-1.13335,0.211494,0.135018,-0.0193521,-0.534281,-0.0393432,0.0871953,0.0925037,-1.20488,-0.961588,-1.40416,-1.19323,0.464007,-1.1787
191,000005.SZ,1,0.0494801,-1.32602,-1.99282,-0.92409,-1.0157,-0.286318,0.197911,-0.956498,0.0798228,-1.79027,0.158566,-0.936753,0.13356,-1.13221,-0.839258,-1.02455,-0.389931,-1.71756,0.418586,-2.39901,-2.63586,-0.450393,-0.479662,1.32118,0.269802,1.34125,1.93491,-0.571086,-1.22503,0.25552,0.991689,0.0669678,0.332087,0.199093,0.466929,0.238442,0.329803,0.187435,0.385789,-0.142379,0.151622,0.3606,0.33799,1.30195,1.27398,0.681887,1.03737,1.18403,1.14088,0.515785,0.877277,1.44769,0.435586,0.747594,0.70215,0.615378,0.724743,0.532653,0.40386,-0.335272,0.0314324,-0.222792,-0.0164058,2.51979,0.164788,-0.409552,0.251567,-0.0562151,0.490552,-0.115012,-0.0435458
191,000006.SZ,1,0.254379,1.56787,1.75391,0.700453,0.511881,0.655005,-0.683073,1.39699,-0.377552,-1.57908,-0.206016,-0.68568,-0.269668,0.954413,0.816185,0.396924,0.510157,0.54283,0.693946,1.74359,1.65531,-0.0564017,-0.055092,-0.641809,-0.112397,0.266823,-0.723872,0.128907,0.165461,-0.109599,-0.216643,0.124282,1.14267,0.207192,0.280458,0.263579,0.663199,0.134602,0.322974,0.100038,0.307577,0.393647,0.309698,0.0164916,-0.0095595,-0.504808,0.112786,0.281003,-0.100253,-0.0691243,0.23804,0.665553,-1.16609,0.0854562,0.0365579,0.0213346,0.204182,-0.0882483,-0.212571,-0.461843,0.0771592,-0.827826,0.0067896,0.404199,1.34349,1.56404,0.0356173,1.29189,0.773904,-0.915641,-0.00894232
191,000007.SZ,1,-0.0609514,0.176042,-0.149687,-1.33793,-1.47092,-1.34118,-2.16381,-0.638916,1.95173,-2.21088,3.22952,-0.718019,3.24164,-1.09682,1.09613,1.28262,0.808556,4.04088,2.72181,-2.15839,-1.2954,-1.75212,-1.38405,0.0988173,-1.95754,0.25024,1.08434,-0.925397,-0.334328,0.274375,-0.973721,1.08087,0.495579,0.465325,0.590102,0.64621,0.356532,0.543133,1.24912,0.380016,0.532351,0.698272,0.736126,0.113653,0.00415437,0.0196084,-1.03438,0.784157,0.682613,0.663555,-0.102823,-0.582604,2.44061,0.138659,0.399803,0.400704,0.0983831,0.161703,0.522064,0.573111,0.00903081,-0.237216,-0.017468,4.01277,0.654369,-0.515891,1.18389,0.606426,1.71013,0.783,0.657182
191,000008.SZ,1,0.00523404,-0.558605,-0.645135,-1.15576,-1.94687,0.361227,-0.124088,-1.23588,2.0369,2.47222,2.40661,0.0355434,2.43815,-0.310966,0.245188,-0.00585082,1.23233,1.72671,1.91274,0.513215,0.152807,-1.68915,-0.52005,0.539616,0.441396,1.48615,0.988794,2.39177,1.24231,0.144369,-1.1525,-0.99139,0.103161,-0.00169483,-0.722257,-0.0941406,0.481862,0.226958,-1.19815,-0.509984,-0.188346,0.188433,0.188403,-1.07132,-0.463939,-0.0813923,-1.32574,-0.087091,0.153241,0.302049,-0.834941,-0.249548,0.127445,0.648647,0.536433,0.518381,-0.229278,1.00956,0.817824,1.00879,-1.31065,-0.124549,-0.00917152,0.0203266,2.16727,-1.09077,-0.425027,-1.25031,0.437645,0.0844289,-1.17157
191,000009.SZ,1,-0.0224094,-1.19831,-2.51098,-1.50455,-0.773291,-0.26295,-0.536188,-1.35067,1.86509,-1.04569,1.81622,-1.37127,2.24605,-1.76891,-0.282734,-0.0381821,-0.218687,-0.153933,-0.241298,-1.31819,-1.91752,0.0342664,-0.0146937,-0.109609,-0.188448,0.44228,0.554686,0.0429097,-0.284259,-0.433637,0.067307,-2.21886,-1.42975,-0.742778,-1.03064,-2.34372,-1.11121,-0.601852,-0.970922,-1.84598,-2.20259,-2.00032,-1.20409,-1.18466,-0.00371804,0.308031,-0.288647,-1.20634,-0.204684,0.129538,-0.484695,-0.736615,0.251939,-1.34494,-0.641564,-0.562228,-0.970302,-0.943562,0.0604342,0.377618,-0.587116,0.371757,0.0273753,-0.0606711,-0.270749,-0.174929,-2.08533,-1.74312,-1.9015,-1.69042,-1.81658
191,000010.SZ,1,-0.157294,-0.537593,-0.37273,-1.1945,-0.812111,2.08703,-0.196733,-0.965649,-0.0154827,2.68673,-0.030756,-0.0123321,-0.0259057,-0.550961,-0.342004,-0.705253,-0.400226,0.390241,0.404902,-0.538942,-0.29889,-0.289734,-0.626569,-0.0058431,-0.257597,0.204137,0.708319,0.274212,-0.114944,-0.0412393,-1.27633,-0.298851,0.48429,0.671263,-0.850205,-0.949665,-0.54753,-0.706707,-2.20488,0.637772,0.0516705,-0.0910908,-0.671523,0.29773,-0.391937,-1.74242,-2.73915,-0.435455,-0.540259,-1.15091,-0.436331,0.762376,1.98767,-0.599525,-0.365881,-1.06671,-1.25067,0.139576,0.429565,-0.276044,-0.925558,0.0432135,0.00318214,-0.00705249,-2.33565,1.53809,-2.00902,-0.486805,0.379497,0.148463,0.115082
