month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
130,000001.SZ,1,0.148377,0.721335,0.74618,-0.253729,0.162059,1.76007,1.83031,-1.34606,0.453711,0.0816837,0.213704,0.782666,-0.615842,0.730252,0.641552,0.445866,0.377256,0,0,0.44727,0.504369,0.133099,0.0671815,1.65938,1.7608,-0.0528303,-0.283027,0,0,-5.85146,-1.27247,-0.970534,-0.638368,0.00902151,0.208095,-0.192171,-0.040224,0.0876609,0.385597,-0.641748,-0.31321,-0.145054,-0.0244038,-1.16884,-0.707083,-0.186353,-0.768269,-1.26383,-1.04828,-0.521611,-0.805933,-1.51066,-1.25366,-0.290904,-0.0784377,0.0172613,0.0989814,-1.91966,-1.57299,-1.24969,-1.3246,-0.148656,-0.124633,-1.0452,-0.540409,-1.95274,-2.19027,-2.1027,0.645304,-0.332581,-1.24129
130,000002.SZ,1,0.0047523,-0.383302,-0.16177,-0.233391,0.334547,-0.693297,-0.883248,0.104792,-0.533936,0.611695,-0.722509,-0.157748,-0.367336,-0.868378,-0.624501,-1.41945,-0.974292,-0.413041,-0.282035,-0.870544,-0.641485,-0.387449,-0.151027,0.044999,-0.110272,-0.64218,-0.363672,-0.6572,-0.358926,1.23124,-0.265202,0.486209,0.433732,-0.337313,0.330609,0.300984,0.182121,-0.14382,0.134346,0.364169,0.279362,0.186605,0.153299,0.712145,0.287704,0.302399,0.106731,0.561918,0.322712,0.152671,0.255425,1.12438,0.638464,0.085562,-0.0763519,-0.028462,-0.00994812,0.409128,-0.405791,-0.521752,-0.463819,-0.496033,0.61145,-0.637081,0.0457962,-1.02086,2.46622,-1.26653,0.25795,0.553378,0.434139
130,000003.SZ,0,-0.052309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,000004.SZ,1,0.0314119,-0.571898,-0.2671,-0.534557,-0.791897,-1.58138,-1.16269,-0.153638,0.178934,0.410469,0.367688,-0.582267,0.255226,-0.924646,-1.17117,-0.890284,-1.48167,0.848059,0.460709,-1.35562,-1.82941,-1.02645,-1.04213,-0.969235,0.800699,0.283095,-0.669278,0.216762,-0.0597597,0.751539,0.766288,-0.558369,-0.0290745,0.897663,0.884911,0.799484,1.19181,1.29994,1.16459,0.664326,1.03898,1.19792,1.24923,-0.117335,1.18656,1.19919,1.32915,0.543909,1.62359,2.06949,2.28524,0.497476,-1.05389,1.54956,1.4978,1.27607,1.31897,1.15651,1.1729,0.887621,1.00547,0.493359,0.0602948,-0.31225,-0.484694,0.0206878,-0.49607,-0.208598,-0.912878,-1.2012,-0.211917
130,000005.SZ,1,0.0104087,-0.98462,-0.416108,-0.652943,-0.584545,0.467656,0.188187,-0.735314,-0.940413,-1.99381,-1.38738,0.641797,-1.20387,-0.523174,-0.804833,-0.450774,-0.614168,2.10428,2.42083,-0.828815,0.364078,-0.474131,-0.545227,2.69348,-1.6241,0.594357,1.65216,-0.559052,-1.91286,-0.0262242,0.00293167,0.464566,0.0478166,-0.452744,0.288532,0.627569,0.0114184,-0.29145,0.0525231,0.25313,0.278565,0.104542,0.0473767,1.0263,-0.0274488,-0.498737,0.236155,0.979284,-0.305007,-0.112534,0.585797,1.3293,0.411512,0.57122,0.507199,0.596324,0.685121,0.142721,-0.190972,0.0112977,0.245715,0.00342567,-0.000314344,2.3133,-0.551891,0.220794,0.474747,0.508002,-1.6002,-0.495427,0.200534
130,000006.SZ,1,0.246774,2.45347,2.85342,0.715936,0.288154,-2.21716,-1.88868,1.17259,1.74815,2.70233,0.614716,-0.00503298,0.7094,1.48759,0.9974,0.386208,0.37932,2.09894,2.07072,2.0356,1.99989,-0.194031,-0.238973,-1.68063,-1.62143,-0.937104,-1.30966,-0.577232,0.302095,-0.0677133,-0.454872,0.431755,0.163135,0.698832,0.122836,0.689431,0.417906,0.508697,-0.158243,0.447496,0.63731,0.576552,0.501681,1.36696,-0.34799,0.040547,0.0946698,0.810245,0.169937,0.286981,-0.202848,0.0038809,-0.658996,0.538092,0.221456,0.371596,0.359412,0.210273,-0.605922,-0.299153,-0.40569,0.289141,0.721988,0.457769,0.321554,-1.22787,2.04477,0.734559,-0.477417,0.0890501,0.447109
130,000007.SZ,1,0.059104,-0.272572,-1.41669,-2.00678,-0.108868,2.39677,0.15273,-0.590098,0.0671411,0.0945366,0.137967,-0.709462,0.0957678,0.291289,-0.246189,-1.44847,-0.278101,1.4725,1.55279,-2.09539,-1.97234,-0.314081,-0.327064,-0.403318,1.72408,2.35312,2.73834,-0.426355,-0.773378,0.281998,-0.297088,0.258639,1.17711,1.05617,-0.702573,0.75257,1.35981,1.22171,1.17871,0.173459,0.760285,1.08012,1.21891,-1.40392,-1.57993,-1.11868,-1.29616,0.191954,1.97299,1.94543,2.11929,0.666609,0.271166,1.00526,1.17717,1.25681,0.72691,1.11841,1.49116,1.74641,1.10638,-0.246556,0.0226243,-0.117165,0.0290197,-0.721253,1.23807,0.479577,-0.472754,1.25292,0.090919
130,000008.SZ,1,-0.018441,-0.464693,-0.261028,-1.21078,-2.26683,0.0512627,-0.568933,-0.515296,-0.171873,0.426821,-0.800606,0.0797438,-0.835622,-0.112929,-0.284668,0.0492492,-0.184443,0.469425,0.529548,-0.223106,-1.48141,-2.29494,-2.51055,-2.19825,-2.45571,1.55362,0.534785,2.66162,3.04639,0.719444,0.240326,-0.775425,0.487368,-1.52479,-0.356027,0.717335,0.980449,0.78601,0.914626,0.251083,0.703771,0.859109,0.845796,-1.00648,0.411427,0.505909,0.703009,0.631593,1.99879,2.10132,2.2076,-0.358333,0.407512,1.1417,1.03326,0.953181,1.00887,1.15669,1.00088,0.895364,1.05622,-0.629021,0.0577199,-0.298915,0.237119,0.133491,-0.558907,-0.363838,-0.922693,-2.10388,-1.08717
130,000009.SZ,1,0.355409,-0.225267,-1.20737,-0.740608,0.148686,-0.375083,0.698621,-1.00416,-1.2204,2.07717,-0.733938,-0.0408647,0.129229,-0.726721,-0.0904842,-0.0131003,-0.113051,-0.0920078,-0.245522,-1.03509,-1.24078,0.275137,0.2798,0.566826,0.626385,0.065704,0.631941,-0.182549,-0.62488,-0.390985,0.516905,-2.72,-0.731791,-2.92028,-0.690407,-2.67457,-1.58858,-2.8303,-0.820625,-2.2747,-2.67102,-2.91254,-2.76026,-1.56463,-1.12281,-0.64322,-0.62641,-0.701459,-0.764205,-0.553958,0.172207,0.257121,0.238261,-1.86877,-1.36377,-1.23328,-0.834995,-2.22901,-1.74166,-1.61582,-1.1754,0.322342,-0.0295786,0.153179,0.186593,-1.48647,-1.1158,-1.72038,-0.635955,-0.528223,-2.76339
130,000010.SZ,1,0.0293236,-0.855222,-0.545642,-1.68953,-0.978267,0.0246518,0.114937,-0.833852,0.0910072,0.564145,0.187009,-0.369032,0.12981,0.0146581,-1.2601,0.818407,-1.04981,1.72315,1.2099,-0.0192934,-0.671542,-0.829186,0.0818525,-0.0763278,-1.77434,-0.650566,-0.0150568,-0.986697,-0.605935,0.379621,0.0210819,0.780292,0.40614,0.634934,0.962223,1.48572,1.46939,1.64286,1.4588,0.897674,1.39782,1.49424,1.53993,0.990931,0.285364,0.183609,-1.14755,2.43992,2.51421,2.13377,2.52098,0.166346,0.75704,1.69382,1.56857,1.36489,0.842644,1.89835,1.91464,1.72359,1.1952,0.9134,0.0306664,-0.158813,1.52878,0.172937,0.68095,0.560628,-1.20337,-0.411431,0.450906
