month,stock,status,return,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,profitmargin_q,profitmargin_ttm,assetturnover_q,assetturnover_ttm,operationcashflowratio_q,operationcashflowratio_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,HAlpha,return_1m,return_3m,return_6m,return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m,wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,exp_wgt_return_12m,std_FF3factor_1m,std_FF3factor_3m,std_FF3factor_6m,std_FF3factor_12m,std_1m,std_3m,std_6m,std_12m,ln_price,beta,turn_1m,turn_3m,turn_6m,turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,bias_turn_12m,rating_average,rating_change,rating_targetprice,holder_avgpctchange,macd,dea,dif,rsi,psy,bias
115,000001.SZ,1,-0.040027,0.399848,0.355291,-0.924307,-0.182067,0.898741,1.15192,-0.371528,1.01239,0.498129,0.737779,1.21291,0.502467,1.98265,1.69333,0.421472,0.377693,0,0,0.456647,0.46667,0.160702,0.10145,1.19733,0.967255,-0.0604552,-0.199537,0,0,-6.41931,-1.18314,-1.05109,-0.531857,-1.47916,-2.28643,-0.126775,0.548715,0.387363,0.604084,-0.907724,-0.521277,0.196271,1.02599,-0.760264,-0.257352,-1.53172,-1.3899,-0.24144,-0.0122543,-0.898248,-0.623527,-2.36151,-0.131953,1.42986,1.6045,1.74551,1.93458,-0.490411,-0.34184,-0.509508,-1.19741,-0.330145,-0.570626,-0.603359,1.67268,-1.19898,-1.25794,-1.01943,-0.909464,-0.517302,-1.25688
115,000002.SZ,1,-0.0279234,-0.909991,-0.69274,0.377476,0.176107,1.23956,-0.807134,-0.498722,-1.0875,0.660759,-0.899719,-0.19141,-1.41497,-1.36344,-1.24391,-1.53747,-1.43458,0.573118,0.0781363,-0.361648,-0.500782,-0.65773,-0.617275,-1.19131,-0.638762,-0.408235,-0.801835,-0.117685,0.460407,3.30245,-0.686644,-1.09053,-0.262361,-0.571946,-0.736459,-0.44145,0.294459,0.35614,0.693896,-1.10934,-0.436489,0.0370983,0.357105,0.0173422,0.517307,0.898742,1.26211,0.395639,0.288328,0.140966,0.188845,0.814923,0.0665695,0.0974247,-0.0475438,0.0301356,0.42881,-0.621367,-0.671162,-0.597015,0.0215241,-0.410298,-0.787637,-0.127423,-1.8195,-2.98618,-2.67043,-2.84641,-0.194727,-1.54417,-1.06295
115,000003.SZ,0,0.148532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,000004.SZ,1,0.0396613,-0.576805,-0.625043,-1.34439,-1.25805,-2.09757,-1.19127,-0.47058,0.180095,0.416149,0.237652,-0.328306,0.115956,-1.44262,-0.204073,-1.29584,-0.245159,0.921772,0.946182,-2.2485,-1.39608,-1.16884,-0.982219,-2.25631,-0.793688,0.322686,0.236142,1.44931,0.22403,0.486314,0.687723,-2.5678,-1.27926,-0.917734,-0.707089,-1.85773,-0.167075,0.420233,1.17335,-2.36335,-2.30573,-1.0988,0.0265237,-0.704514,-0.471179,-0.0601621,0.307339,0.68782,0.909034,1.32823,1.69628,-0.258757,-0.90334,0.0359981,0.550518,0.587322,1.01554,-0.792705,-0.376278,-0.515322,-0.0675474,-0.236012,0.0657423,-0.16744,0.570877,-1.08134,-0.851034,-1.17452,-0.576866,-0.674859,-3.13538
115,000005.SZ,1,0.0197234,-0.0852497,-0.984962,-0.316883,-0.482448,-0.610265,0.338013,-0.576987,-0.77903,-2.36422,-0.546215,2.66118,-0.177811,-0.308065,-1.66181,0.849281,-1.43493,1.65399,2.43906,0.661539,-2.69429,-0.36521,-0.633832,0.385484,-0.879188,0.728237,1.4984,-0.997229,-2.08307,-0.0607603,0.152354,0.0706175,0.245077,1.32555,0.728853,0.561085,1.03689,1.36298,1.02072,1.00232,0.949058,1.10216,1.1564,0.443564,1.15035,0.551142,1.17976,1.58135,1.40541,2.69928,2.59723,1.76624,0.451135,0.668931,0.752992,0.854596,0.888309,0.0991087,-0.0544405,-0.0706647,-0.353288,-1.88653,-0.00164453,1.60939,0.46566,0.937266,-0.215567,0.265184,-0.567216,1.3416,0.531499
115,000006.SZ,1,-0.107219,0.280381,0.240373,-0.0180111,-0.299153,-1.80161,1.40978,1.8217,-1.41323,-2.99324,-1.2481,-0.493445,-1.00852,-0.0308831,0.0452725,-0.0540992,-0.167965,0.935721,1.04171,1.81493,1.62648,-0.529637,-0.652923,-0.157514,-1.98377,-0.791573,-1.41511,0.645277,1.29571,-0.187717,-0.126689,-1.17044,-0.540571,-1.30585,-0.358175,-0.15686,0.252413,0.776716,0.685572,-0.47607,-0.667643,-0.231203,0.247449,-1.01518,-0.607305,-0.135703,-0.503828,0.136202,0.145363,0.0568139,0.132654,-1.42419,-0.534982,0.419438,0.759202,1.27537,0.632312,0.267733,0.61241,1.35139,0.444299,-1.04472,1.79505,-0.68213,2.79992,-2.16721,-1.58919,-2.23283,-0.229904,0.817792,-1.5669
115,000007.SZ,0,0.119922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,000008.SZ,1,0.106905,-0.620253,-0.544126,-1.25282,-2.50142,0.842112,-0.318574,-0.742346,0.215413,-0.386573,0.284259,-0.469837,0.138697,-0.183756,-0.275295,0.563122,0.0889696,-0.23366,-0.0504424,-1.47594,-1.50846,-2.41448,-2.5315,-0.217439,0.592264,1.66421,0.453245,2.67589,2.99076,0.638285,-0.41172,-1.13383,-2.42485,-1.1283,-0.412546,-0.463958,-1.04571,-0.0825962,0.499033,-0.302495,-0.683803,-0.708091,-0.290958,0.746303,-0.234654,0.158292,0.471882,2.08007,0.895722,1.6151,1.59571,-0.472615,0.299718,0.803183,-0.140543,0.182658,0.409684,0.720084,-0.461127,-0.0681069,0.234629,-0.282297,0.0786353,-0.200277,1.96852,-0.426389,-0.611602,-0.71249,-2.26754,-0.274875,-1.51697
115,000009.SZ,1,-0.0461344,0.171927,0.176494,-0.150446,0.0758109,-0.364124,-0.06528,-0.741589,1.83603,-2.05535,1.78392,-2.15099,1.97857,0.291821,0.527137,0.16425,0.397316,0.270058,-0.188977,0.848506,0.102274,-0.327609,-0.149237,-0.31309,-0.00988831,0.0567434,-0.0491724,-0.170858,-0.434812,-0.339138,0.918828,-0.853417,-0.421167,0.248052,0.150246,-0.851311,0.0340313,0.711424,0.623321,-1.24468,-1.06503,-0.475589,0.150581,0.452075,1.07259,1.36703,1.56379,1.45666,1.47397,1.53938,1.92834,0.775972,0.242708,-0.541669,0.089847,0.280015,0.35364,-1.26219,-0.564784,-0.411475,-0.614097,0.592317,-0.0370674,0.0944075,1.36959,-0.0709662,-1.16976,-0.965149,-1.63986,-1.44015,-0.73175
115,000010.SZ,0,0.148532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
